layer,previous_layer,cka_from_previous,geometric_change_from_previous,feature_dimension,effective_dimension,normalized_effective_dimension,linear_probe_train_accuracy,linear_probe_test_accuracy
conv1,,nan,nan,64,2.525215918424366,0.03945649872538072,0.32726,0.3264
layer1,conv1,0.6582340701216003,0.3417659298783997,64,5.586331366371559,0.08728642759955561,0.53568,0.5233
layer2,layer1,0.8664535086867166,0.13354649131328344,128,10.288966448944832,0.0803825503823815,0.70056,0.6863
layer3,layer2,0.7275782328711852,0.27242176712881483,256,19.269325605382438,0.07527080314602515,0.931,0.8827
layer4,layer3,0.5888438881913668,0.4111561118086332,512,9.657620983483536,0.01886254098336628,0.99406,0.9298
avgpool,layer4,1.0,0.0,512,9.657620983483536,0.01886254098336628,0.99406,0.9298
