layer,feature_dimension,effective_dimension,normalized_effective_dimension
conv1,64,2.525215918424366,0.03945649872538072
layer1,64,5.586331366371559,0.08728642759955561
layer2,128,10.288966448944832,0.0803825503823815
layer3,256,19.269325605382438,0.07527080314602515
layer4,512,9.657620983483536,0.01886254098336628
avgpool,512,9.657620983483536,0.01886254098336628
