layer_from,layer_to,cka,geometric_change
conv1,layer1,0.6582340701216003,0.3417659298783997
layer1,layer2,0.8664535086867166,0.13354649131328344
layer2,layer3,0.7275782328711852,0.27242176712881483
layer3,layer4,0.5888438881913668,0.4111561118086332
layer4,avgpool,1.0,0.0
